temp,dataset,model,harness,method,speedup,tau,tps,n
0.0,mbpp,Qwen3-4B,domino_official,Domino,4.7297478360789205,7.3763451456789255,315.1831239086482,50.0
0.0,livecodebench,Qwen3-4B,domino_official,Domino,4.1791872334379345,6.9861380965221125,271.7133402096326,50.0
0.0,mt-bench,Qwen3-4B,domino_official,Domino,3.228897981536508,5.233453690360699,212.04064039924262,100.0
0.0,alpaca,Qwen3-4B,domino_official,Domino,2.5414804673755316,3.9025975677416147,167.05991814003522,50.0
0.0,gsm8k,Qwen3-4B,dominotree,DominoTree (16),6.634384958702987,10.672632243641434,436.4970011773005,49.0
0.0,math500,Qwen3-4B,dominotree,DominoTree (16),5.906298574670478,9.753514628243233,388.86548334803905,49.0
0.0,aime25,Qwen3-4B,dominotree,DominoTree (16),4.672045738819602,8.467333163474407,298.18823301805423,29.0
0.0,humaneval,Qwen3-4B,dominotree,DominoTree (16),4.898822157563245,8.008691592932502,323.1572787740109,49.0
0.0,mbpp,Qwen3-4B,dominotree,DominoTree (16),5.103059912276424,8.102067202145006,340.06006670699765,49.0
0.0,livecodebench,Qwen3-4B,dominotree,DominoTree (16),4.575699781208843,7.908453808684873,297.4929338894392,49.0
0.0,mt-bench,Qwen3-4B,dominotree,DominoTree (16),3.6868614756101272,6.1502863766186975,242.11494845051018,99.0
0.0,alpaca,Qwen3-4B,dominotree,DominoTree (16),2.9714327497012096,4.773018805581566,195.32210390596492,49.0
0.5,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,66.06717871216664,50.0
0.5,math500,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.6044539825493,50.0
0.5,aime25,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,64.61845129983806,30.0
0.5,humaneval,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.59339827228,50.0
0.5,mbpp,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,66.61043305716434,50.0
0.5,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.19707366290986,50.0
0.5,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.82240493963462,100.0
0.5,alpaca,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,67.7570383913167,50.0
0.5,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.391161584472799,6.384686555984574,290.11165715536526,50.0
0.5,math500,Qwen3-4B,baseline_ddtree_caddtree,DFlash,5.034579389915511,7.582446375155926,330.2908319072033,50.0
0.5,aime25,Qwen3-4B,baseline_ddtree_caddtree,DFlash,3.936587034829321,6.534666367551088,254.37615759769238,30.0
0.5,humaneval,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.40428586222805,6.569542016389014,288.89207666609656,50.0
0.5,mbpp,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.122043551674754,5.9926402452334,274.5711060575471,50.0
0.5,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.607737605840708,7.277323907557586,300.4110081073565,50.0
0.5,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,DFlash,2.875983542794621,4.39230478197506,189.30415335355255,100.0
0.5,alpaca,Qwen3-4B,baseline_ddtree_caddtree,DFlash,1.9524024132624427,2.899311150452318,132.2890052707227,50.0
0.5,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.828325207487328,7.239657185922633,318.99382436352437,50.0
0.5,math500,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,5.409235547894739,8.385661613452088,354.8699445826303,50.0
0.5,aime25,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.313008798215477,7.229299626379912,278.69994898325984,30.0
0.5,humaneval,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.978833764357815,7.615264155409915,326.5786260369972,50.0
0.5,mbpp,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.754257743940305,7.100668631786606,316.68316718924086,50.0
0.5,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.9612031677487165,8.000069474293038,323.45592838437483,50.0
0.5,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,3.3797690717379747,5.284731810876316,222.46452844239,100.0
0.5,alpaca,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,2.3799337949217207,3.620442584477492,161.25726551130307,50.0
0.5,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.803954031743558,7.211276763103624,317.3836895402351,50.0
0.5,math500,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,5.570683502248494,8.589864765945185,365.4616494746079,50.0
0.5,aime25,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.318818281165694,7.310730878571424,279.0753487743557,30.0
0.5,humaneval,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.947650587508456,7.571149614673933,324.5332154985223,50.0
0.5,mbpp,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.621461028137706,6.915893853922148,307.8375204410606,50.0
0.5,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.913844916103668,7.944763405832015,320.36830896332594,50.0
0.5,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,3.383997961034645,5.291114191658275,222.74288410612033,100.0
0.5,alpaca,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,2.3845268536869586,3.625599689195954,161.56847757039287,50.0
0.5,gsm8k,Qwen3-4B,domino_official,Domino,6.02528272428214,9.477230350228352,396.8540472821493,50.0
0.5,math500,Qwen3-4B,domino_official,Domino,5.426769259960597,8.624059393063067,349.7899563753794,50.0
0.5,aime25,Qwen3-4B,domino_official,Domino,3.6075809230354805,6.380396278726211,230.8964400720951,30.0
0.5,humaneval,Qwen3-4B,domino_official,Domino,4.3947901516494,7.064478886167248,287.4993349118205,50.0
0.5,mbpp,Qwen3-4B,domino_official,Domino,4.3461848681392805,6.87396722273018,287.3640981797382,50.0
0.5,livecodebench,Qwen3-4B,domino_official,Domino,4.089869389555846,6.714241269217596,261.58793580325073,50.0
0.5,mt-bench,Qwen3-4B,domino_official,Domino,3.114613681254228,4.9855721324507,200.3523548068345,100.0
0.5,alpaca,Qwen3-4B,domino_official,Domino,2.377617725010266,3.6455452202638856,155.03261539310634,50.0
0.5,gsm8k,Qwen3-4B,dominotree,DominoTree (16),6.205077824157594,9.89408164005341,408.6962157466296,49.0
0.5,math500,Qwen3-4B,dominotree,DominoTree (16),5.614519623902091,9.251322695652549,361.89166707406383,49.0
0.5,aime25,Qwen3-4B,dominotree,DominoTree (16),4.12601338907626,7.377248199903125,264.0777361761592,29.0
0.5,humaneval,Qwen3-4B,dominotree,DominoTree (16),4.786056189692542,7.825850827430794,313.09526141328683,49.0
0.5,mbpp,Qwen3-4B,dominotree,DominoTree (16),4.966852098307686,7.863718869602716,328.4018092477949,49.0
0.5,livecodebench,Qwen3-4B,dominotree,DominoTree (16),4.378150544770084,7.569492890334614,280.0263907123594,49.0
0.5,mt-bench,Qwen3-4B,dominotree,DominoTree (16),3.5671135354582697,5.974770387704764,229.46010960967774,99.0
0.5,alpaca,Qwen3-4B,dominotree,DominoTree (16),2.913518205270772,4.668742254880047,189.97601784643777,49.0
1.0,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,66.42702624284884,50.0
1.0,math500,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.85654517951255,50.0
1.0,aime25,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,64.73298859754122,30.0
1.0,humaneval,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.8379963330285,50.0
1.0,mbpp,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,66.80163692498762,50.0
1.0,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.66075948951759,50.0
1.0,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,65.89652358000251,100.0
1.0,alpaca,Qwen3-4B,baseline_ddtree_caddtree,AR,1.0,1.0,67.91979715669594,50.0
1.0,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.11323700190591,5.990602470918335,273.23010226866074,50.0
1.0,math500,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.377439979655488,6.598828717984663,288.28307379078615,50.0
1.0,aime25,Qwen3-4B,baseline_ddtree_caddtree,DFlash,2.9417883652872523,4.931873540911109,190.43075270651914,30.0
1.0,humaneval,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.147763911467698,6.20400671508575,273.08046519347823,50.0
1.0,mbpp,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.00398656499939,5.817728577941383,267.4728567676176,50.0
1.0,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,DFlash,4.155831051074208,6.546061090356359,272.8750231236527,50.0
1.0,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,DFlash,2.695398986205101,4.148282511652317,177.6174228519793,100.0
1.0,alpaca,Qwen3-4B,baseline_ddtree_caddtree,DFlash,1.9295303428266615,2.8669514094317434,131.0533094924768,50.0
1.0,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.588094124629763,6.884645856764086,304.7734488214419,50.0
1.0,math500,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.870261829136137,7.542302727657194,320.73861818655945,50.0
1.0,aime25,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,3.4609206932069507,5.869616391141194,224.03573977036,30.0
1.0,humaneval,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.729449032823034,7.245960451599683,311.3774480802481,50.0
1.0,mbpp,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.483179676102735,6.695764152431763,299.4837409924985,50.0
1.0,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,4.785209367752599,7.6550747104971295,314.2004814029899,50.0
1.0,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,3.1641383488544217,4.945345690757238,208.5057173156756,100.0
1.0,alpaca,Qwen3-4B,baseline_ddtree_caddtree,DDTree@16,2.3217007575892388,3.525315844628103,157.6894445140084,50.0
1.0,gsm8k,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.547871981733261,6.831234856582497,302.1016114797123,50.0
1.0,math500,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.903787640178453,7.583442832260243,322.94651227614753,50.0
1.0,aime25,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,3.484024837348838,5.894578462140364,225.53134006965274,30.0
1.0,humaneval,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.589429878329149,7.047847362512494,302.15886750012595,50.0
1.0,mbpp,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.487950606137477,6.6967479091021325,299.80244692847384,50.0
1.0,livecodebench,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,4.8377369415675044,7.752120349411046,317.6494817938183,50.0
1.0,mt-bench,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,3.145845047838572,4.91495390191315,207.3002523739286,100.0
1.0,alpaca,Qwen3-4B,baseline_ddtree_caddtree,CaDDTree,2.3585940826646214,3.594387985636587,160.1952316695644,50.0
1.0,gsm8k,Qwen3-4B,domino_official,Domino,5.412091491095615,8.343070705906333,353.02841284197825,50.0
1.0,math500,Qwen3-4B,domino_official,Domino,4.5413425100548945,7.255582271816031,297.3213217183508,50.0
1.0,aime25,Qwen3-4B,domino_official,Domino,2.8595911755432337,4.946653252682069,181.55334471196355,30.0
1.0,humaneval,Qwen3-4B,domino_official,Domino,3.9839486118309226,6.2945341278971725,257.79896692418936,50.0
1.0,mbpp,Qwen3-4B,domino_official,Domino,4.111287594868351,6.310294020278449,269.0048093882755,50.0
1.0,livecodebench,Qwen3-4B,domino_official,Domino,3.9249522399792043,6.3305567093824004,251.7256392770492,50.0
1.0,mt-bench,Qwen3-4B,domino_official,Domino,2.882894439069593,4.582729225234667,188.3565587218205,100.0
1.0,alpaca,Qwen3-4B,domino_official,Domino,2.3381235907168496,3.5340088607584503,152.93363748102757,50.0
1.0,gsm8k,Qwen3-4B,dominotree,DominoTree (16),5.609034736008516,8.979139158466126,365.87493646153285,49.0
1.0,math500,Qwen3-4B,dominotree,DominoTree (16),4.93283083691656,8.098824543993722,322.95203037379844,49.0
1.0,aime25,Qwen3-4B,dominotree,DominoTree (16),3.0839451021945044,5.583487985331232,195.79741083273092,29.0
1.0,humaneval,Qwen3-4B,dominotree,DominoTree (16),4.550286633493325,7.461503885740466,294.44636656204716,49.0
1.0,mbpp,Qwen3-4B,dominotree,DominoTree (16),4.729803895135567,7.5343777420470674,309.4748216697324,49.0
1.0,livecodebench,Qwen3-4B,dominotree,DominoTree (16),4.067178798686116,7.009754305524891,260.8472971275564,49.0
1.0,mt-bench,Qwen3-4B,dominotree,DominoTree (16),3.295549755805428,5.471913830272621,215.31777323778093,99.0
1.0,alpaca,Qwen3-4B,dominotree,DominoTree (16),2.7037358383665917,4.333409980645859,176.84786133244788,49.0
